id,genres
2plbrEY59IikOBgBGLjaoe,art pop;dance pop;pop
5vNRhkKd0yEAg8suGBpjeY,dance pop;pop;k-pop
6dOtVTDdiauQNBQEDOtlAB,art pop;pop
2CGNAOSuO1MEFCbBRgUzjd,pop;west coast rap;r&b;conscious hip hop;rap;hip hop
06qMRF18gwbOYYbnP2du6i,soft rock;new romantic;new wave;new wave pop
0bYg9bo50gSsH3LtXe2SQn,dance pop;pop;urban contemporary
7ne4VBA60CxGM75vw0EYad,alt z
4lriIG2vNqwDWzOj2I9rtj,french pop;belgian pop;nouvelle chanson francaise;g-house
7tI8dRuH2Yc6RuoTjxo4dU,k-pop
2qSkIjg1o9h3YT9RAgYN75,pop
2EjXfH91m7f8HiJN1yQg97,lounge;easy listening;adult standards;rockabilly
0aB0v4027ukVziUGwVGYpG,conscious hip hop;west coast rap;rap;hip hop
2262bWmqomIaJXwCRHr13j,bedroom pop
7vQbuQcyTflfCIOu3Uzzya,
0WbMK4wrZ1wFSty9F7FCgu,indie pop
3QaPy1KgI7nu9FJEQUgn6h,art pop;pop
1Es7AUAhQvapIcoh3qMKDL,pop;plugg;atl hip hop;rage rap;pluggnb;canadian pop;rap;canadian contemporary r&b
0nj9Bq5sHDiTxSHunhgkFb,conscious hip hop;west coast rap;rap;hip hop
0lizgQ7Qw35od7CYaoMBZb,pop
1cOboCuWYI2osTOfolMRS6,sad sierreno;corridos tumbados;sierreno;corrido
5G2f63n7IPVPPjfNIGih7Q,pop
50zAEIE4B1QqhPjRMK2Xmh,k-pop
3xkHsmpQCBMytMJNiDf3Ii,singer-songwriter pop
7uoFMmxln0GPXQ0AcCBXRq,pop
6WatFBLVB0x077xWeoVc2k,reggaeton;urbano latino;reggaeton colombiano
2uFaJJtFpPDc5Pa95XzTvg,lounge;easy listening;adult standards;vocal jazz
7G7mSV4BebkoHWwKTDvXu9,j-division;korean pop;korean ost
0l0vcZMU7AOeQmUIREoI2U,reggaeton;urbano latino;puerto rican pop;trap latino
5N3hjp1WNayUPZrA8kJmJP,pop
1IcR6RlgvDczfvoWJSSY2A,easy listening;adult standards
3hRV0jL3vUpRrcy398teAU,stomp and holler;indie folk
3YZE5qDV7u1ZD1gZc47ZeR,dance pop;pop;talent show
1YYfyJ2yCvGFCxwjsIqEK9,latin pop;bachata;latin hip hop;trap latino;reggaeton;puerto rican pop;urbano latino
5XeFesFbtLpXzIVDNQP22n,permanent wave;rock;garage rock;sheffield indie;modern rock
17phhZDn6oGtzMe56NuWvj,
51ZQ1vr10ffzbwIjDCwqm4,pop
1rv46mRwDqMEhOBZ7vODg3,lounge;canadian pop;jazz pop;adult standards
7CyPwkp0oE8Ro9Dd5CUDjW,canadian contemporary r&b;canadian pop;k-pop;pop
3qhlB30KknSejmIvZZLjOD,pov: indie;psychedelic pop
51rfRCiUSvxXlCSCfIztBy,alt z
5Z0UnEtpLDQyYlWwgi8m9C,modern rock;pov: indie;irish singer-songwriter;pop
7KA4W4McWYRpgf0fWsJZWB,colombian pop;rap;hip hop
2QjOHCTQ1Jl3zawyYOpxh6,modern rock;pop;modern alternative rock
7sd6zMrgGpEa7NkQm9TRrg,corrido
2PnlsTsOTLE5jnBnNe2K0A,rap metal;nu metal;rock;alternative metal;post-grunge
0qeIFEGRQqHoaJtLCl0U73,reggaeton;urbano latino;pop;trap latino
5fZJQrFKWQLb7FpJXZ1g7K,pop rap;modern country pop
3w3y8KPTfNeOKPiqUTakBh,dance pop;pop
6tjituizSxwSmBB5vtgHZE,lounge;canadian pop;jazz pop;adult standards
0oPdaY4dXtc3ZsaG17V972,latin pop;puerto rican pop
7MD8gswt08VhFwVF1PR8Mg,amapiano;barcadi
34eKUydsaj9GeMTT1ybutO,amapiano;underground amapiano;sgija
0AQfRLzd7pQZcLtfh9Onb8,amapiano;barcadi
21fhgH4tjYcAKzkzCuYyr6,
0dI8174H04ATp4iEw0WkrT,
1DyNpDv4M8qBTthYIAPvqW,amapiano
7hO6BIPeHb0Y5v9bgXoxKg,gqom
