id,genres
26ObOMushZ72HM9PAEuOOO,
3hUk7wHp5Ruas0FLLVW69c,tuna;portuguese pop
6xMpDmxF3jsTrBBKuYFmJq,norwegian hip hop;norwegian trap;norwegian pop rap
4fWaQxKUOW3bYJ2R1qDRzR,
1TNMWejP82ZdXQ7qVszEAo,azontobeats;ghanaian hip hop;afropop;viral afropop;afrobeats;nigerian pop
7eo9YPXQqZjB1DxYAnvHqy,afrobeats;nigerian pop
2noVi0LCf3yUlyARZB1Mw7,viral afropop
1WhkbEoHWXTeL9dzikqJsY,russian underground rap;central asian hip hop;kazakh hip hop;kazakh indie
6ezYHltHYhuJckdCsYsRJI,k-pop girl group
6SwATVDZUy3jha72jDyxe2,j-pop
0bB8hmswtN9WvOQXV159CC,trap italiana;italian hip hop;italian pop
7v4C0Bh0UUIr54Y7h86GPW,rome indie;italian pop;italian adult pop
0D3QZNAMH2d5MFkVlebo6h,trap italiana;italian hip hop;italian pop
7EiZI6JVHllARrX9PUvAdX,hip hop;pop;canadian contemporary r&b;atl hip hop;canadian pop;southern hip hop;trap;rap
6O1RAYwmOqkcoJQr7J9SFJ,modern bollywood;desi pop;filmi
0s5Bv6nKQcTZNHk6kNGP5y,british invasion;classic rock;merseybeat;psychedelic rock;rock
69zAnyBtarXinChSUq925t,rap marseille;french hip hop;pop urbaine
40SGFYkwJVWDfLD8tay2OI,finnish hip hop
08mPohxtKuoyl97OQEq38I,finnish hip hop
0Ch46DVttxlt7dNSkYcpZG,finnish hip hop;finnish trap
4ahgBdpusrRaPyoH1Skh1h,finnish hip hop
1qmWhud8dSCh1WxZnwaR2P,finnish dance pop;finnish hip hop;finnish pop
5grPmKSW7p7wxMzaje5SRP,finnish dance pop;finnish hip hop;finnish trap;finnish pop
6FlgcrEoaGurTfbcSeqHVm,finnish pop
0IJEnvu1p4OIzkY8UiQXCt,finnish drill
2WwAsPZ5eBwihvFv2uXGl4,finnish hip hop
1kVdiCJmRG8NCLMi5Wk1Ga,finnish dance pop;suomi rock;iskelma;finnish pop
1YIPoktkEBmQhwdeEWZTEJ,finnish hip hop
0WaM1Gm2pepIsQOGtUfEKG,finnish hip hop
2sa9m8OLLjWGBS96w8kR2d,finnish hip hop
3K265QDIKTbM1MitKJdgOZ,
0kQtFJbzjpVkrUQyh7hDD5,egyptian hip hop
1C7lXfx4Y5maVl4AgUVlHA,reggaeton;trap latino;latin hip hop;urbano latino;reggaeton flow
0N9RX5PKyLlOKklH5bYtNH,german hip hop;german r&b
2LCoh1sop5AYzRBVDHFoiK,frauenrap;german hip hop;turkish hip hop;german drill
73JHeIhYKRV1c6RI4ZXsjW,german hip hop
3FkKvUfVnxmxdHrXwuI5vx,german hip hop;german pop
4g79mlIRCMtOvi1ZJVpq3t,drill chileno;reggaeton chileno;urbano chileno
6Y5Bgoz421cN2AioH45NZv,russian viral rap;russian hip hop;pop dance;electro house;memphis hip hop;slap house;rap
3xfiWjgYDcEGMzYTykkk1u,russian alt pop;russian hip hop;belarusian hip hop
3U7iXmjXJLsgn0EM23q4ag,russian trap;russian hip hop;russian viral rap;russian drill
3eXbmQ58zo1jULMJJzn9jC,russian hip hop;jersey club
3P2ubMyuL9NQOVU67TVCXA,pop teen brasileiro;funk 150 bpm;funk melody;funk das antigas;funk carioca;pop nacional
0fq2RzyyUoqELsONRF8ZzP,german hip hop
4zYHsmc2V9RyR8eOA0mlx6,argentine hip hop;trap argentino;trap latino;urbano latino;pop venezolano
2b6iksHOJYwowL2R5OXwPl,romanian trap
3mkTYCqErrz0Er7KVScfxv,polish viral rap;polish viral pop
1X9zmng42hJSwZ3gz8Q9v7,afrobeats;nigerian pop;afro drill;nigerian hip hop
2TqUQbVg1bgahl09szanuE,
1XchSQ2367nORjbsvO7ysb,lithuanian pop
2vJreatDgwtXWKpkqpPUZ3,cantopop;hk-pop
6NddoCdcG3lrzL4q30Wo5F,greek trap;greek drill
0RHOUjIUEVsbLsYP2VLKVZ,finnish hip hop
04TcSXoEPD9fNkEQaKEzdj,finnish hip hop
7IzAHtKPBETkdC644MkELY,estonian hip hop;estonian pop
3ZOEytgrvLwQaqXreDs2Jx,funk rock;alternative rock;rock;permanent wave;funk metal
48UPSzbZjgc449aqz8bxox,funk rock;alternative rock;rock;permanent wave;funk metal
64BbK9SFKH2jk86U3dGj2P,funk rock;alternative rock;rock;permanent wave;funk metal
79wR3vOEBkSJbHQNRDUGWW,russian drain;russian hip hop;russian viral rap
79GaUHpyHosiSGLUtYTHBd,russian hip hop;russian viral rap
2ItNKt19iqefEe590Z9GeE,pov: indie;pixel;otacore
64FzgoLZ3oXu2SriZblHic,pop
4v1eCQCl3d5w8a6Czv4qTv,turkce drill
10SXKV8mddSJm6Dsj0Oe4s,turkish pop;turkish deep house
1a9CYYvZHorDJpCICeo9VV,turkce drill
4pfjFUrtfnnkADqijqKmzP,t-pop
4pRmXzB5gkQXkfEOLfwJQx,polish hip hop
3kjMeY6ZgOZYAFRiPHMqmS,polish hip hop;polish trap
5OVD56aqdB0BmEzFXwvito,polish hip hop
0MhL6QodqjEjbsTeMcCFMc,
